"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tia1",2.28964233791588e-05,1.35677133919837,1,0.289,0.711002635193018,"1","Tia1"
"Sbf2",2.3717634326745e-05,2.67878005659462,0.579,0.053,0.736503698748411,"1","Sbf2"
"Zswim8",2.3717634326745e-05,2.07962645321383,0.579,0.053,0.736503698748411,"1","Zswim8"
"Csnk1e",2.40606801635087e-05,1.67426516325447,0.895,0.289,0.747156301117436,"1","Csnk1e"
"Ptpra",2.46832327690596e-05,2.22054554878639,0.632,0.079,0.766488427177609,"1","Ptpra"
"Dnajc5",2.46832327690596e-05,2.15202979487956,0.632,0.079,0.766488427177609,"1","Dnajc5"
"Negr1",2.626621368744e-05,2.58579648401318,0.579,0.053,0.815644733636074,"1","Negr1"
"Mageh1",2.6617932695039e-05,4.42752561326423,0.474,0.026,0.826566663979046,"1","Mageh1"
"Cyth2",2.72551144375362e-05,1.55627375273055,0.684,0.105,0.846353068628812,"1","Cyth2"
"Mrps17",2.978693903179e-05,4.23348701766964,0.474,0.026,0.924973817754175,"1","Mrps17"
"Kalrn",2.978693903179e-05,4.81618503261207,0.474,0.026,0.924973817754175,"1","Kalrn"
"Tmem108",2.9933685977992e-05,2.44949589251707,0.632,0.079,0.929530750674586,"1","Tmem108"
"mt-Co1",3.03875067323434e-05,1.4965888456442,0.947,0.5,0.943623246559461,"1","mt-Co1"
"Rtl8a",3.21653591480645e-05,1.34610426045895,0.579,0.053,0.998830897624847,"1","Rtl8a"
"Celf4",3.48555867916992e-05,2.17179854130686,0.789,0.158,1,"1","Celf4"
"Gpr85",3.55675053037915e-05,1.77196250382029,0.579,0.053,1,"1","Gpr85"
"Rac3",3.56512334213029e-05,2.68393512793361,0.579,0.079,1,"1","Rac3"
"Dpysl5",3.58847726339091e-05,1.91642231919937,0.684,0.105,1,"1","Dpysl5"
"Rnf38",3.62347277772927e-05,2.04212562630166,0.632,0.079,1,"1","Rnf38"
"Ctr9",3.72320238108427e-05,4.30221039487852,0.474,0.026,1,"1","Ctr9"
"Rab11a",3.778989266435e-05,3.80445452544858,0.526,0.053,1,"1","Rab11a"
"Tcaf1",3.91869860830133e-05,2.24731434945044,0.632,0.105,1,"1","Tcaf1"
"Arf4",3.92888141896112e-05,1.45831960726428,0.895,0.263,1,"1","Arf4"
"Rsf1",3.9294735757431e-05,3.23187535474439,0.579,0.079,1,"1","Rsf1"
"Copa",3.92977277888764e-05,2.33321435688241,0.684,0.105,1,"1","Copa"
"Clstn1",3.93095625573915e-05,1.43333673141918,0.579,0.053,1,"1","Clstn1"
"Tmem44",3.93095625573915e-05,1.25782705306746,0.579,0.053,1,"1","Tmem44"
"Uchl1",4.12627431829869e-05,1.02935823912446,0.842,0.184,1,"1","Uchl1"
"Arglu1",4.12627431829869e-05,1.36242971923311,0.842,0.184,1,"1","Arglu1"
"Nsfl1c",4.30172900011602e-05,2.12320975666021,0.684,0.105,1,"1","Nsfl1c"
"Top2b",4.46364577422713e-05,1.0966145874729,0.895,0.184,1,"1","Top2b"
"Fscn1",4.49458840865771e-05,1.41218200310174,0.789,0.158,1,"1","Fscn1"
"Slc24a5",4.59227734991097e-05,0.987462742326939,0.684,0.132,1,"1","Slc24a5"
"Jpt1",4.6207011143799e-05,1.25350189390038,0.947,0.605,1,"1","Jpt1"
"Sox4",4.63223211962421e-05,1.16283490489383,0.947,0.316,1,"1","Sox4"
"C530008M17Rik",4.63928678707944e-05,3.23851993333009,0.526,0.053,1,"1","C530008M17Rik"
"Adgrl3",4.64221326593455e-05,3.80934266112467,0.474,0.026,1,"1","Adgrl3"
"Polr2j",4.7668252659721e-05,2.89930609378882,0.579,0.079,1,"1","Polr2j"
"Ank2",4.84014925674765e-05,1.23470164950147,0.895,0.184,1,"1","Ank2"
"Mycbp2",4.99680872577871e-05,1.4296841479146,0.737,0.132,1,"1","Mycbp2"
"Klhdc2",5.01488340969984e-05,1.49619953909145,0.684,0.132,1,"1","Klhdc2"
"Kdm1a",5.14813148402838e-05,2.079654072118,0.684,0.105,1,"1","Kdm1a"
"Tspan3",5.14813148402838e-05,1.67373691134718,0.684,0.105,1,"1","Tspan3"
"Son",5.17628098232809e-05,0.859549175228757,0.947,0.237,1,"1","Son"
"Macrod2",5.17873567620803e-05,3.88568493985872,0.474,0.026,1,"1","Macrod2"
"Adprh",5.17873567620803e-05,3.24504206628336,0.474,0.026,1,"1","Adprh"
"Cadm4",5.2805231538257e-05,2.3382179271792,0.632,0.079,1,"1","Cadm4"
"Gm17750",5.4741774250579e-05,2.41847908892654,0.684,0.132,1,"1","Gm17750"
